#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
240, o' nice cole dour ,&,193363,&, o' ,&,463,&, nice ,&,190708,&, cole ,&,2073,&, dour ,&,119, \\ \hline
241, o' nice cole dower ,&,193336,&, o' ,&,463,&, nice ,&,190708,&, cole ,&,2073,&, dower ,&,92, \\ \hline
166, eh niece cold hour ,&,193313,&, eh ,&,66963,&, niece ,&,1693,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
242, o' nice kohl dour ,&,192202,&, o' ,&,463,&, nice ,&,190708,&, kohl ,&,912,&, dour ,&,119, \\ \hline
243, o' nice kohl dower ,&,192175,&, o' ,&,463,&, nice ,&,190708,&, kohl ,&,912,&, dower ,&,92, \\ \hline
142, eh gneiss cold hour ,&,191641,&, eh ,&,66963,&, gneiss ,&,21,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
8, 'n' e scold hour ,&,180993,&, 'n' ,&,0,&, e ,&,108963,&, scold ,&,217,&, hour ,&,71813, \\ \hline
152, eh ne scold hour ,&,146096,&, eh ,&,66963,&, ne ,&,7103,&, scold ,&,217,&, hour ,&,71813, \\ \hline
148, eh knee scold hour ,&,145132,&, eh ,&,66963,&, knee ,&,6139,&, scold ,&,217,&, hour ,&,71813, \\ \hline
172, eh nigh scold hour ,&,140387,&, eh ,&,66963,&, nigh ,&,1394,&, scold ,&,217,&, hour ,&,71813, \\ \hline
176, eh nye scold hour ,&,139030,&, eh ,&,66963,&, nye ,&,37,&, scold ,&,217,&, hour ,&,71813, \\ \hline
22, 'n' ice cold hour ,&,136859,&, 'n' ,&,0,&, ice ,&,12202,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
206, et niece cold hour ,&,133081,&, et ,&,6731,&, niece ,&,1693,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
182, et gneiss cold hour ,&,131409,&, et ,&,6731,&, gneiss ,&,21,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
6, 'n' aye skol dour ,&,130627,&, 'n' ,&,0,&, aye ,&,130503,&, skol ,&,5,&, dour ,&,119, \\ \hline
